code_set	concept_code	concept_name	vocabulary_id	domain_id
diabetes_01_base	421326000	Disorder of nervous system due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	421365002	Peripheral circulatory disorder due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	421437000	Hypoglycemic coma due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	421468001	Disorder of nervous system due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	421779007	Exudative maculopathy due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	421847006	Ketoacidotic coma due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	421893009	Renal disorder due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	422034002	Retinopathy due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	422099009	Disorder of eye due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	422166005	Peripheral circulatory disorder due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	427027005	Lumbosacral radiculoplexus neuropathy due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	427571000	Lumbosacral radiculoplexus neuropathy due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	428007007	Erectile dysfunction due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	44054006	Diabetes mellitus type 2 (disorder)	SNOMED	Condition
diabetes_01_base	46635009	Diabetes mellitus type 1 (disorder)	SNOMED	Condition
diabetes_01_base	60951000119105	Blindness due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	609562003	Maturity onset diabetes of the young, type 1 (disorder)	SNOMED	Condition
diabetes_01_base	609564002	Pre-existing type 1 diabetes mellitus in pregnancy (disorder)	SNOMED	Condition
diabetes_01_base	609566000	Pregnancy and type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	609567009	Pre-existing type 2 diabetes mellitus in pregnancy (disorder)	SNOMED	Condition
diabetes_01_base	60961000119107	Nonproliferative diabetic retinopathy due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	60971000119101	Proliferative retinopathy due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	60991000119100	Blindness due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	691000119103	Erectile dysfunction due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	712882000	Autonomic neuropathy due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	712883005	Autonomic neuropathy due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	713702000	Gastroparesis due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	713703005	Gastroparesis due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	713705003	Polyneuropathy due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	713706002	Polyneuropathy due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	71441000119104	Nephrotic syndrome due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	71721000119101	Nephrotic syndrome due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	71791000119104	Peripheral neuropathy due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	719216001	Hypoglycemic coma due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	739681000	Disorder of eye due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	770098001	Cranial nerve palsy due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	81531005	Diabetes mellitus type 2 in obese (disorder)	SNOMED	Condition
diabetes_01_base	82541000119100	Traction detachment of retina due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	82551000119103	Rubeosis iridis due to type 2 diabetes mellitus (disorder)	SNOMED	Condition
diabetes_01_base	82571000119107	Traction detachment of retina due to type 1 diabetes mellitus (disorder)	SNOMED	Condition
