code_set	concept_code	concept_name	vocabulary_id	domain_id
frailty_diagnosis_01_base	10637031000119106	Pressure injury of buttock stage I (disorder)	SNOMED	Condition
frailty_diagnosis_01_base	10637111000119102	Pressure injury of buttock stage III (disorder)	SNOMED	Condition
frailty_diagnosis_01_base	129588001	Adult failure to thrive syndrome (disorder)	SNOMED	Condition
frailty_diagnosis_01_base	17886000	Fall from wheelchair (event)	SNOMED	Observation
frailty_diagnosis_01_base	214436006	Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting (event)	SNOMED	Observation
frailty_diagnosis_01_base	214438007	Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, passenger of motor vehicle injured (e	SNOMED	Observation
frailty_diagnosis_01_base	214441003	Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, occupant of tram injured (event)	SNOMED	Observation
frailty_diagnosis_01_base	214443000	Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, pedal cyclist injured (event)	SNOMED	Observation
frailty_diagnosis_01_base	217082002	Accidental fall (event)	SNOMED	Observation
frailty_diagnosis_01_base	217084001	Fall on or from escalator (event)	SNOMED	Observation
frailty_diagnosis_01_base	217088003	Fall on or from stairs (event)	SNOMED	Observation
frailty_diagnosis_01_base	217092005	Fall on or from steps (event)	SNOMED	Observation
frailty_diagnosis_01_base	217094006	Fall from steps (event)	SNOMED	Observation
frailty_diagnosis_01_base	217154006	Fall on same level from slipping, tripping or stumbling (event)	SNOMED	Observation
frailty_diagnosis_01_base	217156008	Fall on same level from tripping (event)	SNOMED	Observation
frailty_diagnosis_01_base	217158009	Fall on moving sidewalk (event)	SNOMED	Observation
frailty_diagnosis_01_base	225558004	Pressure injury of back (disorder)	SNOMED	Condition
frailty_diagnosis_01_base	225563000	Pressure injury of buttock (disorder)	SNOMED	Condition
frailty_diagnosis_01_base	242389003	Fall due to wet surface (event)	SNOMED	Observation
frailty_diagnosis_01_base	242391006	Fall due to discarded object (event)	SNOMED	Observation
frailty_diagnosis_01_base	242395002	Fall due to trip on loose carpet (event)	SNOMED	Observation
frailty_diagnosis_01_base	242413007	Fall from furniture (event)	SNOMED	Observation
frailty_diagnosis_01_base	242419006	Fall from toilet seat (event)	SNOMED	Observation
frailty_diagnosis_01_base	274918000	Fall on same level due to nature of surface (event)	SNOMED	Observation
frailty_diagnosis_01_base	40104005	Fall in home (event)	SNOMED	Observation
frailty_diagnosis_01_base	427849003	Fall on hard surface (event)	SNOMED	Observation
frailty_diagnosis_01_base	429621003	Fall on concrete (event)	SNOMED	Observation
frailty_diagnosis_01_base	52702003	Chronic fatigue syndrome (disorder)	SNOMED	Condition
frailty_diagnosis_01_base	67223001	Fall on escalator (event)	SNOMED	Observation
frailty_diagnosis_01_base	699216009	Pressure injury of coccygeal region of back (disorder)	SNOMED	Condition
frailty_diagnosis_01_base	823018004	Muscle paresis due to and following neuromuscular blockade (disorder)	SNOMED	Condition
frailty_diagnosis_01_base	8960001000004106	Pressure injury of ischial tuberosity region of right buttock (disorder)	SNOMED	Condition
frailty_diagnosis_01_base	92341000119107	Weakness of extremities as sequela of stroke (disorder)	SNOMED	Condition
frailty_diagnosis_01_base	L89.001	Pressure ulcer of unspecified elbow, stage 1	ICD10CM	Condition
frailty_diagnosis_01_base	L89.003	Pressure ulcer of unspecified elbow, stage 3	ICD10CM	Condition
frailty_diagnosis_01_base	L89.006	Pressure-induced deep tissue damage of unspecified elbow	ICD10CM	Condition
frailty_diagnosis_01_base	L89.010	Pressure ulcer of right elbow, unstageable	ICD10CM	Condition
frailty_diagnosis_01_base	L89.012	Pressure ulcer of right elbow, stage 2	ICD10CM	Condition
frailty_diagnosis_01_base	L89.014	Pressure ulcer of right elbow, stage 4	ICD10CM	Condition
frailty_diagnosis_01_base	L89.019	Pressure ulcer of right elbow, unspecified stage	ICD10CM	Condition
frailty_diagnosis_01_base	L89.021	Pressure ulcer of left elbow, stage 1	ICD10CM	Condition
frailty_diagnosis_01_base	L89.023	Pressure ulcer of left elbow, stage 3	ICD10CM	Condition
frailty_diagnosis_01_base	L89.026	Pressure-induced deep tissue damage of left elbow	ICD10CM	Condition
frailty_diagnosis_01_base	L89.100	Pressure ulcer of unspecified part of back, unstageable	ICD10CM	Condition
frailty_diagnosis_01_base	L89.102	Pressure ulcer of unspecified part of back, stage 2	ICD10CM	Condition
frailty_diagnosis_01_base	L89.104	Pressure ulcer of unspecified part of back, stage 4	ICD10CM	Condition
frailty_diagnosis_01_base	L89.109	Pressure ulcer of unspecified part of back, unspecified stage	ICD10CM	Condition
frailty_diagnosis_01_base	L89.111	Pressure ulcer of right upper back, stage 1	ICD10CM	Condition
frailty_diagnosis_01_base	L89.113	Pressure ulcer of right upper back, stage 3	ICD10CM	Condition
frailty_diagnosis_01_base	L89.116	Pressure-induced deep tissue damage of right upper back	ICD10CM	Condition
frailty_diagnosis_01_base	L89.120	Pressure ulcer of left upper back, unstageable	ICD10CM	Condition
frailty_diagnosis_01_base	L89.122	Pressure ulcer of left upper back, stage 2	ICD10CM	Condition
frailty_diagnosis_01_base	L89.124	Pressure ulcer of left upper back, stage 4	ICD10CM	Condition
frailty_diagnosis_01_base	L89.129	Pressure ulcer of left upper back, unspecified stage	ICD10CM	Condition
frailty_diagnosis_01_base	L89.131	Pressure ulcer of right lower back, stage 1	ICD10CM	Condition
frailty_diagnosis_01_base	L89.133	Pressure ulcer of right lower back, stage 3	ICD10CM	Condition
frailty_diagnosis_01_base	L89.136	Pressure-induced deep tissue damage of right lower back	ICD10CM	Condition
frailty_diagnosis_01_base	L89.140	Pressure ulcer of left lower back, unstageable	ICD10CM	Condition
frailty_diagnosis_01_base	L89.142	Pressure ulcer of left lower back, stage 2	ICD10CM	Condition
frailty_diagnosis_01_base	L89.144	Pressure ulcer of left lower back, stage 4	ICD10CM	Condition
frailty_diagnosis_01_base	L89.149	Pressure ulcer of left lower back, unspecified stage	ICD10CM	Condition
frailty_diagnosis_01_base	L89.151	Pressure ulcer of sacral region, stage 1	ICD10CM	Condition
frailty_diagnosis_01_base	L89.153	Pressure ulcer of sacral region, stage 3	ICD10CM	Condition
