code_set	concept_code	concept_name	concept_id	vocabulary_id	domain_id
outpatient_01	185463005	Visit out of hours	4085818	SNOMED	Observation
outpatient_01	185465003	Weekend visit	4089186	SNOMED	Observation
outpatient_01	3391000175108	Office visit for pediatric care and assessment	46270504	SNOMED	Observation
outpatient_01	444971000124105	Annual wellness visit	763701	SNOMED	Observation
outpatient_01	84251009	Comprehensive consultation	4223382	SNOMED	Observation
outpatient_01	G0438	Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit	40664424	HCPCS	Observation
outpatient_01	185464004	Out of hours visit - not night visit	4083574	SNOMED	Observation
outpatient_01	281036007	Follow-up consultation	4094043	SNOMED	Observation
outpatient_01	439740005	Postoperative follow-up visit	4235813	SNOMED	Observation
outpatient_01	77406008	Confirmatory medical consultation	4300169	SNOMED	Observation
outpatient_01	G0402	Initial preventive physical examination; face-to-face visit, services limited to new beneficiary during the first 12 months of medicare enrollment	2617469	HCPCS	Observation
outpatient_01	G0439	Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit	40664425	HCPCS	Observation
outpatient_01	G0463	Hospital outpatient clinic visit for assessment and management of a patient	44786391	HCPCS	Observation
outpatient_01	T1015	Clinic visit/encounter, all-inclusive	2721637	HCPCS	Observation
