code_set	concept_code	concept_name	vocabulary_id	domain_id
outpatient_01_base	185463005	Visit out of hours (procedure)	SNOMED	Observation
outpatient_01_base	185465003	Weekend visit (procedure)	SNOMED	Observation
outpatient_01_base	3391000175108	Office visit for pediatric care and assessment (procedure)	SNOMED	Observation
outpatient_01_base	444971000124105	Annual wellness visit (procedure)	SNOMED	Observation
outpatient_01_base	84251009	Comprehensive consultation (procedure)	SNOMED	Observation
outpatient_01_base	G0438	Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit	HCPCS	Observation
outpatient_01_base	185464004	Out of hours visit - not night visit (procedure)	SNOMED	Observation
outpatient_01_base	281036007	Follow-up consultation (procedure)	SNOMED	Observation
outpatient_01_base	439740005	Postoperative follow-up visit (procedure)	SNOMED	Observation
outpatient_01_base	77406008	Confirmatory medical consultation (procedure)	SNOMED	Observation
outpatient_01_base	G0402	Initial preventive physical examination; face-to-face visit, services limited to new beneficiary during the first 12 months of medicare enrollment	HCPCS	Observation
outpatient_01_base	G0439	Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit	HCPCS	Observation
outpatient_01_base	G0463	Hospital outpatient clinic visit for assessment and management of a patient	HCPCS	Observation
outpatient_01_base	T1015	Clinic visit/encounter, all-inclusive	HCPCS	Observation
