code_set	concept_code	concept_name	concept_id	vocabulary_id	domain_id
bilateral_mastectomy_01	0HTV0ZZ	Resection of Bilateral Breast, Open Approach	2753966	ICD10PCS	Procedure
bilateral_mastectomy_01	14693006	Subcutaneous mammectomy of bilateral breasts	4033546	SNOMED	Procedure
bilateral_mastectomy_01	14714006	Excision of bilateral breasts with excision of bilateral regional lymph nodes	4033218	SNOMED	Procedure
bilateral_mastectomy_01	17086001	Modified radical mastectomy, bilateral	4061934	SNOMED	Procedure
bilateral_mastectomy_01	22418005	Simple mastectomy of bilateral breasts	4329559	SNOMED	Procedure
bilateral_mastectomy_01	27865001	Excision of bilateral breasts	4101683	SNOMED	Procedure
bilateral_mastectomy_01	456903003	Extended radical mastectomy of bilateral breasts	43021873	SNOMED	Procedure
bilateral_mastectomy_01	52314009	Extended simple mastectomy of bilateral breasts	4182056	SNOMED	Procedure
bilateral_mastectomy_01	60633004	Subcutaneous mammectomy of bilateral breasts with synchronous implants	4245519	SNOMED	Procedure
bilateral_mastectomy_01	726636007	Prophylactic bilateral mastectomy	37111603	SNOMED	Procedure
bilateral_mastectomy_01	76468001	Radical mastectomy of bilateral breasts	4297155	SNOMED	Procedure
bilateral_mastectomy_01	836436008	Robotic assisted bilateral simple mastectomy	3654546	SNOMED	Procedure
bilateral_mastectomy_01	870629001	Excision of bilateral breasts for female to male transsexual	3656001	SNOMED	Procedure
