code_set	concept_code	concept_name	vocabulary_id	domain_id
colectomy_01_base	0DTE0ZZ	Resection of Large Intestine, Open Approach	ICD10PCS	Procedure
colectomy_01_base	0DTE4ZZ	Resection of Large Intestine, Percutaneous Endoscopic Approach	ICD10PCS	Procedure
colectomy_01_base	0DTE7ZZ	Resection of Large Intestine, Via Natural or Artificial Opening	ICD10PCS	Procedure
colectomy_01_base	0DTE8ZZ	Resection of Large Intestine, Via Natural or Artificial Opening Endoscopic	ICD10PCS	Procedure
colectomy_01_base	119771000119101	History of total colectomy (situation)	SNOMED	Observation
colectomy_01_base	26390003	Total colectomy (procedure)	SNOMED	Procedure
colectomy_01_base	303401008	Parks panproctocolectomy, anastomosis of ileum to anus and creation of pouch (procedure)	SNOMED	Procedure
colectomy_01_base	307666008	Total colectomy and ileostomy (procedure)	SNOMED	Procedure
colectomy_01_base	307667004	Total colectomy, ileostomy and rectal mucous fistula (procedure)	SNOMED	Procedure
colectomy_01_base	307669001	Total colectomy, ileostomy and closure of rectal stump (procedure)	SNOMED	Procedure
colectomy_01_base	31130001	Total abdominal colectomy with proctectomy and ileostomy (procedure)	SNOMED	Procedure
colectomy_01_base	36192008	Total abdominal colectomy with ileoproctostomy (procedure)	SNOMED	Procedure
colectomy_01_base	44151	Colectomy, total, abdominal, without proctectomy; with continent ileostomy	CPT4	Drug
colectomy_01_base	44157	Colectomy, total, abdominal, with proctectomy; with ileoanal anastomosis, includes loop ileostomy, and rectal mucosectomy, when performed	CPT4	Drug
colectomy_01_base	44751009	Total abdominal colectomy with proctectomy and continent ileostomy (procedure)	SNOMED	Procedure
colectomy_01_base	45.81	Laparoscopic total intra-abdominal colectomy	ICD9CM	Procedure
colectomy_01_base	45.82	Open total intra-abdominal colectomy	ICD9CM	Procedure
colectomy_01_base	45.83	Other and unspecified total intra-abdominal colectomy	ICD9CM	Procedure
colectomy_01_base	456004	Total abdominal colectomy with ileostomy (procedure)	SNOMED	Procedure
colectomy_01_base	713165008	Laparoscopic total colectomy with ileo-rectal anastomosis (procedure)	SNOMED	Procedure
colectomy_01_base	787108001	Laparoscopic restorative proctocolectomy with ileal pouch anal anastomosis (procedure)	SNOMED	Procedure
colectomy_01_base	787109009	Excision of entire colon and entire rectum (procedure)	SNOMED	Procedure
colectomy_01_base	787874000	Laparoscopic total colectomy (procedure)	SNOMED	Procedure
colectomy_01_base	787875004	Laparoscopic total colectomy and loop ileostomy (procedure)	SNOMED	Procedure
colectomy_01_base	787876003	Laparoscopic total colectomy and ileostomy (procedure)	SNOMED	Procedure
colectomy_01_base	80294005	Total abdominal colectomy with rectal mucosectomy and ileoanal anastomosis (procedure)	SNOMED	Procedure
colectomy_01_base	858579005	Excision of entire colon, entire rectum and entire anal canal (procedure)	SNOMED	Procedure
