code_set	concept_code	concept_name	concept_id	vocabulary_id	domain_id
fobt_01	12503-9	Hemoglobin.gastrointestinal [Presence] in Stool --4th specimen	3027299	LOINC	Measurement
fobt_01	12504-7	Hemoglobin.gastrointestinal [Presence] in Stool --5th specimen	3028134	LOINC	Measurement
fobt_01	14563-1	Hemoglobin.gastrointestinal [Presence] in Stool --1st specimen	3024098	LOINC	Measurement
fobt_01	14564-9	Hemoglobin.gastrointestinal [Presence] in Stool --2nd specimen	3024622	LOINC	Measurement
fobt_01	14565-6	Hemoglobin.gastrointestinal [Presence] in Stool --3rd specimen	3011473	LOINC	Measurement
fobt_01	2335-8	Hemoglobin.gastrointestinal [Presence] in Stool	3016251	LOINC	Measurement
fobt_01	27396-1	Hemoglobin.gastrointestinal [Mass/mass] in Stool	3024966	LOINC	Measurement
fobt_01	27401-9	Hemoglobin.gastrointestinal [Presence] in Stool --6th specimen	3005720	LOINC	Measurement
fobt_01	27925-7	Hemoglobin.gastrointestinal [Presence] in Stool --7th specimen	3023293	LOINC	Measurement
fobt_01	27926-5	Hemoglobin.gastrointestinal [Presence] in Stool --8th specimen	3025556	LOINC	Measurement
fobt_01	29771-3	Hemoglobin.gastrointestinal.lower [Presence] in Stool by Immunoassay	3012471	LOINC	Measurement
fobt_01	56490-6	Hemoglobin.gastrointestinal.lower [Presence] in Stool by Immunoassay --2nd specimen	40759611	LOINC	Measurement
fobt_01	56491-4	Hemoglobin.gastrointestinal.lower [Presence] in Stool by Immunoassay --3rd specimen	40759612	LOINC	Measurement
fobt_01	57905-2	Hemoglobin.gastrointestinal.lower [Presence] in Stool by Immunoassay --1st specimen	40761014	LOINC	Measurement
fobt_01	58453-2	Hemoglobin.gastrointestinal.lower [Mass/volume] in Stool by Immunoassay	40761554	LOINC	Measurement
fobt_01	80372-6	Hemoglobin.gastrointestinal [Presence] in Stool by Rapid immunoassay	21492860	LOINC	Measurement
