code_set	concept_code	concept_name	vocabulary_id	domain_id
tobacco_nonuser_01_base	105539002	Non-smoker for personal reasons (finding)	SNOMED	Observation
tobacco_nonuser_01_base	105540000	Non-smoker for religious reasons (finding)	SNOMED	Observation
tobacco_nonuser_01_base	105541001	Non-smoker for medical reasons (finding)	SNOMED	Observation
tobacco_nonuser_01_base	1137688001	Ex-electronic cigarette user for less than one year (finding)	SNOMED	Observation
tobacco_nonuser_01_base	1137690000	Never used electronic cigarette (finding)	SNOMED	Observation
tobacco_nonuser_01_base	1137692008	Ex-electronic cigarette user for more than one year (finding)	SNOMED	Observation
tobacco_nonuser_01_base	160620009	Ex-pipe smoker (finding)	SNOMED	Observation
tobacco_nonuser_01_base	160621008	Ex-cigar smoker (finding)	SNOMED	Observation
tobacco_nonuser_01_base	228491005	Does not use snuff (finding)	SNOMED	Observation
tobacco_nonuser_01_base	228492003	Never used snuff (finding)	SNOMED	Observation
tobacco_nonuser_01_base	228493008	Ex-snuff user (finding)	SNOMED	Observation
tobacco_nonuser_01_base	228501004	Does not use moist powdered tobacco (finding)	SNOMED	Observation
tobacco_nonuser_01_base	228502006	Never used moist powdered tobacco (finding)	SNOMED	Observation
tobacco_nonuser_01_base	228503001	Ex-user of moist powdered tobacco (finding)	SNOMED	Observation
tobacco_nonuser_01_base	228511006	Does not chew tobacco (finding)	SNOMED	Observation
tobacco_nonuser_01_base	228512004	Never chewed tobacco (finding)	SNOMED	Observation
tobacco_nonuser_01_base	228513009	Ex-tobacco chewer (finding)	SNOMED	Observation
tobacco_nonuser_01_base	266919005	Never smoked tobacco (finding)	SNOMED	Observation
tobacco_nonuser_01_base	266921000	Ex-trivial cigarette smoker (<1/day) (finding)	SNOMED	Observation
tobacco_nonuser_01_base	266922007	Ex-light cigarette smoker (1-9/day) (finding)	SNOMED	Observation
tobacco_nonuser_01_base	266923002	Ex-moderate cigarette smoker (10-19/day) (finding)	SNOMED	Observation
tobacco_nonuser_01_base	266924008	Ex-heavy cigarette smoker (20-39/day) (finding)	SNOMED	Observation
tobacco_nonuser_01_base	266925009	Ex-very heavy cigarette smoker (40+/day) (finding)	SNOMED	Observation
tobacco_nonuser_01_base	266928006	Ex-cigarette smoker amount unknown (finding)	SNOMED	Observation
tobacco_nonuser_01_base	281018007	Ex-cigarette smoker (finding)	SNOMED	Observation
tobacco_nonuser_01_base	360890004	Intolerant ex-smoker (finding)	SNOMED	Observation
tobacco_nonuser_01_base	360900008	Aggressive ex-smoker (finding)	SNOMED	Observation
tobacco_nonuser_01_base	360918006	Aggressive non-smoker (finding)	SNOMED	Observation
tobacco_nonuser_01_base	360929005	Intolerant non-smoker (finding)	SNOMED	Observation
tobacco_nonuser_01_base	405746006	Current non smoker but past smoking history unknown (finding)	SNOMED	Observation
tobacco_nonuser_01_base	428081000124100	Former heavy tobacco smoker (finding)	SNOMED	Observation
tobacco_nonuser_01_base	428091000124102	Former light tobacco smoker (finding)	SNOMED	Observation
tobacco_nonuser_01_base	451371000124109	Tobacco non-user (finding)	SNOMED	Observation
tobacco_nonuser_01_base	451381000124107	Smokeless tobacco non-user (finding)	SNOMED	Observation
tobacco_nonuser_01_base	456711000124105	Former smokeless tobacco user (finding)	SNOMED	Observation
tobacco_nonuser_01_base	48031000119106	Ex-smoker for more than 1 year (finding)	SNOMED	Observation
tobacco_nonuser_01_base	53896009	Tolerant ex-smoker (finding)	SNOMED	Observation
tobacco_nonuser_01_base	702975009	Ex-tobacco user (finding)	SNOMED	Observation
tobacco_nonuser_01_base	702979003	Never used tobacco (finding)	SNOMED	Observation
tobacco_nonuser_01_base	735128000	Ex-smoker for less than 1 year (finding)	SNOMED	Observation
tobacco_nonuser_01_base	8392000	Non-smoker (finding)	SNOMED	Observation
tobacco_nonuser_01_base	8517006	Ex-smoker (finding)	SNOMED	Observation
tobacco_nonuser_01_base	87739003	Tolerant non-smoker (finding)	SNOMED	Observation
