code_set	concept_code	concept_name	vocabulary_id	domain_id
tobacco_user_01_base	110483000	Tobacco user (finding)	SNOMED	Observation
tobacco_user_01_base	1137691001	Trying to give up using electronic cigarette (finding)	SNOMED	Observation
tobacco_user_01_base	160603005	Light cigarette smoker (1-9 cigs/day) (finding)	SNOMED	Observation
tobacco_user_01_base	160604004	Moderate cigarette smoker (10-19 cigs/day) (finding)	SNOMED	Observation
tobacco_user_01_base	160605003	Heavy cigarette smoker (20-39 cigs/day) (finding)	SNOMED	Observation
tobacco_user_01_base	160606002	Very heavy cigarette smoker (40+ cigs/day) (finding)	SNOMED	Observation
tobacco_user_01_base	160619003	Rolls own cigarettes (finding)	SNOMED	Observation
tobacco_user_01_base	228494002	Snuff user (finding)	SNOMED	Observation
tobacco_user_01_base	228499007	Finding relating to moist tobacco use (finding)	SNOMED	Observation
tobacco_user_01_base	228504007	User of moist powdered tobacco (finding)	SNOMED	Observation
tobacco_user_01_base	228514003	Chews plug tobacco (finding)	SNOMED	Observation
tobacco_user_01_base	228515002	Chews twist tobacco (finding)	SNOMED	Observation
tobacco_user_01_base	228516001	Chews loose leaf tobacco (finding)	SNOMED	Observation
tobacco_user_01_base	228517005	Chews fine cut tobacco (finding)	SNOMED	Observation
tobacco_user_01_base	228518000	Chews products containing tobacco (finding)	SNOMED	Observation
tobacco_user_01_base	230059006	Occasional cigarette smoker (finding)	SNOMED	Observation
tobacco_user_01_base	230060001	Light cigarette smoker (finding)	SNOMED	Observation
tobacco_user_01_base	230062009	Moderate cigarette smoker (finding)	SNOMED	Observation
tobacco_user_01_base	230063004	Heavy cigarette smoker (finding)	SNOMED	Observation
tobacco_user_01_base	230064005	Very heavy cigarette smoker (finding)	SNOMED	Observation
tobacco_user_01_base	230065006	Chain smoker (finding)	SNOMED	Observation
tobacco_user_01_base	266920004	Trivial cigarette smoker (less than one cigarette/day) (finding)	SNOMED	Observation
tobacco_user_01_base	428041000124106	Occasional tobacco smoker (finding)	SNOMED	Observation
tobacco_user_01_base	428061000124105	Light tobacco smoker (finding)	SNOMED	Observation
tobacco_user_01_base	428071000124103	Heavy tobacco smoker (finding)	SNOMED	Observation
tobacco_user_01_base	449867007	Uses moist tobacco occasionally (finding)	SNOMED	Observation
tobacco_user_01_base	449868002	Smokes tobacco daily (finding)	SNOMED	Observation
tobacco_user_01_base	449869005	Uses moist tobacco daily (finding)	SNOMED	Observation
tobacco_user_01_base	450811000124104	Cigarette smoker (5-9 cigarettes/day) (finding)	SNOMED	Observation
tobacco_user_01_base	450821000124107	Cigarette smoker (1-4 cigarettes/day) (finding)	SNOMED	Observation
tobacco_user_01_base	56578002	Moderate smoker (20 or less per day) (finding)	SNOMED	Observation
tobacco_user_01_base	56771006	Heavy smoker (over 20 per day) (finding)	SNOMED	Observation
tobacco_user_01_base	59978006	Cigar smoker (finding)	SNOMED	Observation
tobacco_user_01_base	65568007	Cigarette smoker (finding)	SNOMED	Observation
tobacco_user_01_base	698289004	Hookah pipe smoker (finding)	SNOMED	Observation
tobacco_user_01_base	713914004	User of smokeless tobacco (finding)	SNOMED	Observation
tobacco_user_01_base	722499006	Electronic cigarette user (finding)	SNOMED	Observation
tobacco_user_01_base	77176002	Smoker (finding)	SNOMED	Observation
tobacco_user_01_base	785889008	Nicotine-filled electronic cigarette user (finding)	SNOMED	Observation
tobacco_user_01_base	81703003	Chews tobacco (finding)	SNOMED	Observation
tobacco_user_01_base	82302008	Pipe smoker (finding)	SNOMED	Observation
