code_set	concept_code	concept_name	vocabulary_id	domain_id
autism_01_base	39951000119105	Pervasive developmental disorder of residual state	SNOMED	Condition
autism_01_base	1254652005	Intellectual disability, macrocephaly, hypotonia, behavioral abnormalities syndrome	SNOMED	Condition
autism_01_base	870308001	Pervasive developmental disorder with cognitive developmental delay and complete impairment of functional language	SNOMED	Condition
autism_01_base	870307006	Pervasive developmental disorder with abscence of functional language	SNOMED	Condition
autism_01_base	870306002	Pervasive developmental disorder with complete impairment of functional language	SNOMED	Condition
autism_01_base	870305003	Pervasive developmental disorder with cognitive developmental delay and marked impairment of functional language	SNOMED	Condition
autism_01_base	870304004	Pervasive developmental disorder with complete impairment of functional language without loss of previously acquired skills	SNOMED	Condition
autism_01_base	870303005	Pervasive developmental disorder with complete impairment of functional language with loss of previously acquired skills	SNOMED	Condition
autism_01_base	870282001	Pervasive developmental disorder with severe impairment of functional language without loss of previously acquired skills	SNOMED	Condition
autism_01_base	870280009	Pervasive developmental disorder with severe impairment of functional language with loss of previously acquired skills	SNOMED	Condition
autism_01_base	870270005	Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language with loss of previously acquired skills	SNOMED	Condition
autism_01_base	870269009	Pervasive developmental disorder with disorder of intellectual development and absence of functional language with loss of previously acquired skills	SNOMED	Condition
autism_01_base	870268001	Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language without loss of previously acquired skills	SNOMED	Condition
autism_01_base	870267006	Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language without loss of previously acquired skills	SNOMED	Condition
autism_01_base	870266002	Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language with loss of previously acquired skills	SNOMED	Condition
autism_01_base	870265003	Pervasive developmental disorder with disorder of intellectual development with loss of previously acquired skills	SNOMED	Condition
autism_01_base	870264004	Pervasive developmental disorder with disorder of intellectual development and pervasive impairment of functional language without loss of previously acquired skills	SNOMED	Condition
autism_01_base	870263005	Pervasive developmental disorder with impairment of functional language	SNOMED	Condition
autism_01_base	870262000	Pervasive developmental disorder with disorder of intellectual development without loss of previously acquired skills	SNOMED	Condition
autism_01_base	870261007	Pervasive developmental disorder with marked impairment of functional language without loss of previously acquired skills	SNOMED	Condition
autism_01_base	870260008	Pervasive developmental disorder with marked impairment of functional language with loss of previously acquired skills	SNOMED	Condition
autism_01_base	783089006	Macrocephaly, intellectual disability, autism syndrome	SNOMED	Condition
autism_01_base	771512003	Autism spectrum disorder due to AUTS2 deficiency	SNOMED	Condition
autism_01_base	766824003	ADNP-related multiple congenital anomalies, intellectual disability, autism spectrum disorder	SNOMED	Condition
autism_01_base	733623005	Autism spectrum disorder, epilepsy, arthrogryposis syndrome	SNOMED	Condition
autism_01_base	723332005	Isodicentric chromosome 15 syndrome	SNOMED	Condition
autism_01_base	719600006	1p21.3 microdeletion syndrome	SNOMED	Condition
autism_01_base	718393002	Atypical Rett syndrome	SNOMED	Condition
autism_01_base	712884004	Pathological demand avoidance	SNOMED	Condition
autism_01_base	702732007	High-functioning autism	SNOMED	Condition
autism_01_base	702450004	FOXG1 syndrome	SNOMED	Condition
autism_01_base	442314000	Active but odd autism	SNOMED	Condition
autism_01_base	432091002	Savant syndrome	SNOMED	Condition
autism_01_base	408857007	Infantile autism	SNOMED	Condition
autism_01_base	373618009	Autistic spectrum disorder with isolated skills	SNOMED	Condition
autism_01_base	231536004	Atypical autism	SNOMED	Condition
autism_01_base	68618008	Rett syndrome	SNOMED	Condition
autism_01_base	43614003	Autistic disorder of childhood onset	SNOMED	Condition
autism_01_base	23560001	Asperger's disorder	SNOMED	Condition
autism_01_base	35919005	Autism spectrum disorder	SNOMED	Condition
