code_set	concept_code	concept_name	vocabulary_id	domain_id
disability_hearing_01_base	721092005	Developmental malformation, deafness, dystonia syndrome	SNOMED	Condition
disability_hearing_01_base	721584005	Johnson neuroectodermal syndrome	SNOMED	Condition
disability_hearing_01_base	721973006	Lipodystrophy, intellectual disability, deafness syndrome	SNOMED	Condition
disability_hearing_01_base	722019000	Oculootoradial syndrome	SNOMED	Condition
disability_hearing_01_base	722035007	MEDNIK syndrome	SNOMED	Condition
disability_hearing_01_base	722054007	Ocular albinism with late-onset sensorineural deafness	SNOMED	Condition
disability_hearing_01_base	722453009	Hennekam Beemer syndrome	SNOMED	Condition
disability_hearing_01_base	722476007	Thickened earlobe with conductive deafness syndrome	SNOMED	Condition
disability_hearing_01_base	723497003	Peripheral neuropathy with sensorineural hearing impairment syndrome	SNOMED	Condition
disability_hearing_01_base	1010230003	Neural hearing loss of right ear	SNOMED	Condition
disability_hearing_01_base	1010441004	Sensorineural hearing loss of right ear with normal hearing on left side	SNOMED	Condition
disability_hearing_01_base	1010442006	Sensorineural hearing loss of left ear with normal hearing on right side	SNOMED	Condition
disability_hearing_01_base	1010610007	Retinitis pigmentosa-deafness syndrome type 3	SNOMED	Condition
disability_hearing_01_base	1052205008	Mixed conductive and sensorineural hearing loss of left ear with normal hearing on right side	SNOMED	Condition
disability_hearing_01_base	1052206009	Mixed conductive and sensorineural hearing loss of right ear with normal hearing on left side	SNOMED	Condition
disability_hearing_01_base	1083811000119108	High frequency sensorineural hearing loss of bilateral ears	SNOMED	Condition
disability_hearing_01_base	1084051000119104	Bilateral conductive hearing loss of middle ears	SNOMED	Condition
disability_hearing_01_base	1084151000119100	Bilateral hearing loss of ears caused by noise	SNOMED	Condition
disability_hearing_01_base	1088931000119103	High frequency sensorineural hearing loss in left ear	SNOMED	Condition
disability_hearing_01_base	1091541000119108	High frequency sensorineural hearing loss in right ear	SNOMED	Condition
disability_hearing_01_base	1119386008	Sensorineural hearing loss of right ear	SNOMED	Condition
disability_hearing_01_base	1119387004	Sensorineural hearing loss of left ear	SNOMED	Condition
disability_hearing_01_base	1142112002	Sensorineural deafness due to late congenital syphilis	SNOMED	Condition
disability_hearing_01_base	1172604004	DIAPH1-related sensorineural hearing loss-thrombocytopenia syndrome	SNOMED	Condition
disability_hearing_01_base	1172605003	Retinitis pigmentosa, hearing loss, premature aging, short stature, facial dysmorphism syndrome	SNOMED	Condition
disability_hearing_01_base	1172635005	Split-foot malformation, mesoaxial polydactyly syndrome	SNOMED	Condition
disability_hearing_01_base	1173035001	Combined oxidative phosphorylation defect type 25	SNOMED	Condition
disability_hearing_01_base	1179361001	Maternal perinatal sensorineural hearing loss	SNOMED	Condition
disability_hearing_01_base	1179362008	Neonatal sensorineural hearing loss	SNOMED	Condition
disability_hearing_01_base	1179555000	Fetal sensorineural hearing loss	SNOMED	Condition
disability_hearing_01_base	1197059004	Congenital ichthyosis, microcephalus, tetraplegia syndrome	SNOMED	Condition
disability_hearing_01_base	1208614008	Autosomal dominant deafness with onychodystrophy syndrome	SNOMED	Condition
disability_hearing_01_base	1220595008	Cataract, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, skeletal dysplasia syndrome	SNOMED	Condition
disability_hearing_01_base	1228871002	PCNA-related progressive neurodegenerative photosensitivity syndrome	SNOMED	Condition
disability_hearing_01_base	1234911006	Congenital cochleovestibular malformation	SNOMED	Condition
disability_hearing_01_base	1237343009	Otodental syndrome	SNOMED	Condition
disability_hearing_01_base	1255271005	Juvenile-onset diabetes mellitus, central and peripheral neurodegeneration syndrome	SNOMED	Condition
disability_hearing_01_base	1260133007	Syndromic sensorineural deafness due to combined oxidative phosphorylation defect	SNOMED	Condition
disability_hearing_01_base	1260450002	Infantile multisystem neurologic, endocrine, pancreatic disease	SNOMED	Condition
disability_hearing_01_base	1268466004	Low frequency sensorineural hearing loss	SNOMED	Condition
disability_hearing_01_base	1285518004	Wolfram syndrome type 1	SNOMED	Condition
disability_hearing_01_base	1285519007	Wolfram syndrome type 2	SNOMED	Condition
disability_hearing_01_base	129629004	Metabolic presbycusis	SNOMED	Condition
disability_hearing_01_base	1299152003	Adult-onset progressive leukoencephalopathy, early-onset deafness	SNOMED	Condition
disability_hearing_01_base	15123008	Familial amyloid nephropathy with urticaria AND deafness	SNOMED	Condition
disability_hearing_01_base	15190000	Tympanic membrane conductive hearing loss	SNOMED	Condition
disability_hearing_01_base	18701000119107	Mixed conductive and sensorineural hearing loss of left ear	SNOMED	Condition
disability_hearing_01_base	18711000119105	Mixed conductive and sensorineural hearing loss of right ear	SNOMED	Condition
disability_hearing_01_base	194413008	Conductive hearing loss due to disorder of external ear	SNOMED	Condition
disability_hearing_01_base	194415001	Conductive hearing loss due to disorder of middle ear	SNOMED	Condition
disability_hearing_01_base	194426007	Combined perceptive hearing loss	SNOMED	Condition
disability_hearing_01_base	2061000	Conductive hearing loss of combined sites	SNOMED	Condition
disability_hearing_01_base	232057003	Usher syndrome type 1	SNOMED	Condition
disability_hearing_01_base	232058008	Usher syndrome type 2	SNOMED	Condition
disability_hearing_01_base	232302007	Mondini defect	SNOMED	Condition
disability_hearing_01_base	232328005	Dominant sensorineural hearing loss	SNOMED	Condition
disability_hearing_01_base	23631000119109	Sensorineural hearing loss in left ear	SNOMED	Condition
disability_hearing_01_base	23641000119100	Sensorineural hearing loss in right ear	SNOMED	Condition
disability_hearing_01_base	236529001	Prune belly syndrome with pulmonic stenosis, intellectual disability and deafness	SNOMED	Condition
disability_hearing_01_base	24559001	Mutilating keratoderma	SNOMED	Condition
disability_hearing_01_base	275482009	Drug ototoxicity - deafness	SNOMED	Condition
disability_hearing_01_base	373905003	Jervell and Lange-Nielsen syndrome	SNOMED	Condition
disability_hearing_01_base	3820005	Inner ear conductive hearing loss	SNOMED	Condition
disability_hearing_01_base	427772009	Asymmetrical hearing loss	SNOMED	Condition
disability_hearing_01_base	428887009	Asymmetrical sensorineural hearing loss	SNOMED	Condition
disability_hearing_01_base	430985005	Bilateral sensory hearing loss	SNOMED	Condition
disability_hearing_01_base	49526009	Presbycusis	SNOMED	Condition
disability_hearing_01_base	56943007	End organ deafness	SNOMED	Condition
disability_hearing_01_base	65680009	Sensorineural hearing loss of combined sites	SNOMED	Condition
disability_hearing_01_base	67817003	Pili torti-deafness syndrome	SNOMED	Condition
disability_hearing_01_base	699866005	Brown-Vialetto-Van Laere syndrome	SNOMED	Condition
disability_hearing_01_base	700453005	Congenital sensorineural hearing loss	SNOMED	Condition
disability_hearing_01_base	702362004	Craniofacial deafness hand syndrome	SNOMED	Condition
disability_hearing_01_base	70694009	Wolfram syndrome	SNOMED	Condition
disability_hearing_01_base	715239002	Sudden sensorineural hearing loss	SNOMED	Condition
disability_hearing_01_base	715506001	Phocomelia, ectrodactyly, deafness and sinus arrhythmia syndrome	SNOMED	Condition
disability_hearing_01_base	715527006	Deafness and oligodontia syndrome	SNOMED	Condition
disability_hearing_01_base	715952000	Waardenburg Shah syndrome	SNOMED	Condition
disability_hearing_01_base	716007007	Lowry Yong syndrome	SNOMED	Condition
disability_hearing_01_base	716170005	Nathalie syndrome	SNOMED	Condition
disability_hearing_01_base	716238003	Chitty Hall Baraitser syndrome	SNOMED	Condition
