code_set	concept_code	concept_name	vocabulary_id	domain_id
advanced_illness_01_base	1017197007	Interstitial pulmonary fibrosis due to inhalation of drug (disorder)	SNOMED	Condition
advanced_illness_01_base	1204468000	Right ventricular failure with sepsis (disorder)	SNOMED	Condition
advanced_illness_01_base	1237520001	Metastatic carcinoma to skin of trunk (disorder)	SNOMED	Condition
advanced_illness_01_base	1254728008	Metastatic adenoid cystic carcinoma to trachea (disorder)	SNOMED	Condition
advanced_illness_01_base	15629741000119102	Systolic heart failure stage C due to ischemic cardiomyopathy (disorder)	SNOMED	Condition
advanced_illness_01_base	420054005	Alcoholic cirrhosis (disorder)	SNOMED	Condition
advanced_illness_01_base	722671009	Metastatic malignant neoplasm of meninges (disorder)	SNOMED	Condition
advanced_illness_01_base	100721000119109	High grade astrocytoma of brain (disorder)	SNOMED	Condition
advanced_illness_01_base	10091002	High output heart failure (disorder)	SNOMED	Condition
advanced_illness_01_base	1010334009	Emphysema of right lung (disorder)	SNOMED	Condition
advanced_illness_01_base	101281000119107	Congestive heart failure due to cardiomyopathy (disorder)	SNOMED	Condition
advanced_illness_01_base	1017196003	Interstitial pulmonary fibrosis due to inhalation of substance (disorder)	SNOMED	Condition
advanced_illness_01_base	10335000	Chronic right-sided heart failure (disorder)	SNOMED	Condition
advanced_illness_01_base	103511000119103	Melanoma carcinomatosis (disorder)	SNOMED	Condition
advanced_illness_01_base	104981000119104	Oligodendroglioma of cerebrum (disorder)	SNOMED	Condition
advanced_illness_01_base	105051000119106	Metastatic undifferentiated large cell carcinoma to lung (disorder)	SNOMED	Condition
advanced_illness_01_base	105421000119105	Early onset Alzheimer's disease with behavioral disturbance (disorder)	SNOMED	Condition
advanced_illness_01_base	10633002	Acute congestive heart failure (disorder)	SNOMED	Condition
advanced_illness_01_base	10676831000119101	Hypoxemic respiratory failure (disorder)	SNOMED	Condition
advanced_illness_01_base	107581000119103	Astrocytoma of brain stem (disorder)	SNOMED	Condition
advanced_illness_01_base	107811000119106	Metastatic small cell carcinoma to liver (disorder)	SNOMED	Condition
advanced_illness_01_base	1079531000119106	Metastatic malignant neoplasm to left kidney (disorder)	SNOMED	Condition
advanced_illness_01_base	108101000119101	Malignant melanoma metastatic to kidney (disorder)	SNOMED	Condition
advanced_illness_01_base	108201000119105	Undifferentiated large cell carcinoma metastatic to kidney (disorder)	SNOMED	Condition
