code_set	concept_code	concept_name	vocabulary_id	domain_id
anxiety_01_base	81350009	Free-floating anxiety	SNOMED	Condition
anxiety_01_base	788866004	Anxiety due to dementia	SNOMED	Condition
anxiety_01_base	61387006	Moderate anxiety	SNOMED	Condition
anxiety_01_base	79823003	Panic	SNOMED	Condition
anxiety_01_base	225637002	Anxiety about loss of control	SNOMED	Observation
anxiety_01_base	300894000	Parental anxiety	SNOMED	Condition
anxiety_01_base	70997004	Mild anxiety	SNOMED	Condition
anxiety_01_base	225635005	Anxiety about treatment	SNOMED	Observation
anxiety_01_base	197480006	Anxiety disorder	SNOMED	Condition
anxiety_01_base	247805009	Anxiety and fear	SNOMED	Condition
anxiety_01_base	1255960000	Anxiety about visiting dentist	SNOMED	Observation
anxiety_01_base	471971000124108	Anxiety disorder due to severe acute respiratory syndrome coronavirus 2	SNOMED	Condition
anxiety_01_base	300895004	Anxiety attack	SNOMED	Condition
anxiety_01_base	35429005	Anticipatory anxiety	SNOMED	Condition
anxiety_01_base	247825008	Anxiety about behavior or performance	SNOMED	Observation
anxiety_01_base	225636006	Anxiety about forced dependence	SNOMED	Observation
anxiety_01_base	198288003	Anxiety state	SNOMED	Condition
anxiety_01_base	279622009	Performance anxiety	SNOMED	Condition
anxiety_01_base	129869000	Death anxiety	SNOMED	Condition
anxiety_01_base	247808006	Anxiety about body function or health	SNOMED	Observation
anxiety_01_base	48694002	Anxiety	SNOMED	Condition
