code_set	concept_code	concept_name	vocabulary_id	domain_id
bipolar_01_base	10875004	Severe mixed bipolar I disorder with psychotic features, mood-incongruent (disorder)	SNOMED	Condition
bipolar_01_base	10981006	Severe mixed bipolar I disorder with psychotic features (disorder)	SNOMED	Condition
bipolar_01_base	111485001	Mixed bipolar I disorder in full remission (disorder)	SNOMED	Condition
bipolar_01_base	1196001	Chronic bipolar II disorder, most recent episode major depressive (disorder)	SNOMED	Condition
bipolar_01_base	12969000	Severe bipolar II disorder, most recent episode major depressive, in full remission (disorder)	SNOMED	Condition
bipolar_01_base	133091000119105	Rapid cycling bipolar I disorder (disorder)	SNOMED	Condition
bipolar_01_base	13313007	Mild bipolar disorder (disorder)	SNOMED	Condition
bipolar_01_base	13581000	Severe bipolar I disorder, single manic episode with psychotic features, mood-congruent (disorder)	SNOMED	Condition
bipolar_01_base	13746004	Bipolar disorder (disorder)	SNOMED	Condition
bipolar_01_base	14495005	Severe bipolar I disorder, single manic episode without psychotic features (disorder)	SNOMED	Condition
bipolar_01_base	1499003	Bipolar I disorder, single manic episode with postpartum onset (disorder)	SNOMED	Condition
bipolar_01_base	162004	Severe manic bipolar I disorder without psychotic features (disorder)	SNOMED	Condition
bipolar_01_base	16238741000119105	Bipolar disorder caused by drug (disorder)	SNOMED	Condition
bipolar_01_base	16295005	Bipolar II disorder, most recent episode major depressive (disorder)	SNOMED	Condition
bipolar_01_base	16506000	Mixed bipolar I disorder (disorder)	SNOMED	Condition
bipolar_01_base	17782008	Bipolar I disorder, most recent episode manic with catatonic features (disorder)	SNOMED	Condition
bipolar_01_base	191618007	Bipolar affective disorder, current episode manic (disorder)	SNOMED	Condition
bipolar_01_base	191620005	Bipolar affective disorder, currently manic, mild (disorder)	SNOMED	Condition
bipolar_01_base	191621009	Bipolar affective disorder, currently manic, moderate (disorder)	SNOMED	Condition
bipolar_01_base	191623007	Bipolar affective disorder, currently manic, severe, with psychosis (disorder)	SNOMED	Condition
bipolar_01_base	191627008	Bipolar affective disorder, current episode depression (disorder)	SNOMED	Condition
bipolar_01_base	191629006	Bipolar affective disorder, currently depressed, mild (disorder)	SNOMED	Condition
bipolar_01_base	191630001	Bipolar affective disorder, currently depressed, moderate (disorder)	SNOMED	Condition
bipolar_01_base	191636007	Mixed bipolar affective disorder (disorder)	SNOMED	Condition
bipolar_01_base	191638008	Mixed bipolar affective disorder, mild (disorder)	SNOMED	Condition
bipolar_01_base	191639000	Mixed bipolar affective disorder, moderate (disorder)	SNOMED	Condition
bipolar_01_base	191641004	Mixed bipolar affective disorder, severe, with psychosis (disorder)	SNOMED	Condition
bipolar_01_base	191643001	Mixed bipolar affective disorder, in full remission (disorder)	SNOMED	Condition
bipolar_01_base	192362008	Bipolar affective disorder, current episode mixed (disorder)	SNOMED	Condition
bipolar_01_base	19300006	Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-congruent (disorder)	SNOMED	Condition
bipolar_01_base	20960007	Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-incongruent (disorder)	SNOMED	Condition
bipolar_01_base	21900002	Bipolar I disorder, most recent episode depressed with catatonic features (disorder)	SNOMED	Condition
bipolar_01_base	22121000	Depressed bipolar I disorder in full remission (disorder)	SNOMED	Condition
bipolar_01_base	22407005	Bipolar II disorder, most recent episode major depressive with catatonic features (disorder)	SNOMED	Condition
bipolar_01_base	231444002	Organic bipolar disorder (disorder)	SNOMED	Condition
bipolar_01_base	23741000119105	Severe manic bipolar I disorder (disorder)	SNOMED	Condition
bipolar_01_base	261000119107	Severe depressed bipolar I disorder (disorder)	SNOMED	Condition
bipolar_01_base	26203008	Severe depressed bipolar I disorder with psychotic features, mood-incongruent (disorder)	SNOMED	Condition
bipolar_01_base	26530004	Severe bipolar disorder with psychotic features, mood-incongruent (disorder)	SNOMED	Condition
bipolar_01_base	271000119101	Severe mixed bipolar I disorder (disorder)	SNOMED	Condition
bipolar_01_base	28663008	Severe manic bipolar I disorder with psychotic features (disorder)	SNOMED	Condition
bipolar_01_base	28884001	Moderate bipolar I disorder, single manic episode (disorder)	SNOMED	Condition
bipolar_01_base	29929003	Bipolar I disorder, most recent episode depressed with atypical features (disorder)	SNOMED	Condition
bipolar_01_base	30520009	Severe bipolar II disorder, most recent episode major depressive with psychotic features (disorder)	SNOMED	Condition
bipolar_01_base	30687003	Bipolar II disorder, most recent episode major depressive with postpartum onset (disorder)	SNOMED	Condition
bipolar_01_base	30935000	Manic bipolar I disorder in full remission (disorder)	SNOMED	Condition
bipolar_01_base	31446002	Bipolar I disorder, most recent episode hypomanic (disorder)	SNOMED	Condition
bipolar_01_base	33380008	Severe manic bipolar I disorder with psychotic features, mood-incongruent (disorder)	SNOMED	Condition
bipolar_01_base	34315001	Bipolar II disorder, most recent episode major depressive with melancholic features (disorder)	SNOMED	Condition
bipolar_01_base	3530005	Bipolar I disorder, single manic episode, in full remission (disorder)	SNOMED	Condition
bipolar_01_base	35481005	Mixed bipolar I disorder in remission (disorder)	SNOMED	Condition
bipolar_01_base	35722002	Severe bipolar II disorder, most recent episode major depressive, in remission (disorder)	SNOMED	Condition
bipolar_01_base	35846004	Moderate bipolar II disorder, most recent episode major depressive (disorder)	SNOMED	Condition
bipolar_01_base	36583000	Mixed bipolar I disorder in partial remission (disorder)	SNOMED	Condition
bipolar_01_base	371596008	Bipolar I disorder (disorder)	SNOMED	Condition
bipolar_01_base	371599001	Severe bipolar I disorder (disorder)	SNOMED	Condition
bipolar_01_base	371600003	Severe bipolar disorder (disorder)	SNOMED	Condition
bipolar_01_base	371604007	Severe bipolar II disorder (disorder)	SNOMED	Condition
bipolar_01_base	40926005	Moderate mixed bipolar I disorder (disorder)	SNOMED	Condition
bipolar_01_base	41552001	Mild bipolar I disorder, single manic episode (disorder)	SNOMED	Condition
bipolar_01_base	41832009	Severe bipolar I disorder, single manic episode with psychotic features (disorder)	SNOMED	Condition
bipolar_01_base	41836007	Bipolar disorder in full remission (disorder)	SNOMED	Condition
bipolar_01_base	43568002	Bipolar II disorder, most recent episode major depressive with atypical features (disorder)	SNOMED	Condition
bipolar_01_base	43769008	Mild mixed bipolar I disorder (disorder)	SNOMED	Condition
bipolar_01_base	4441000	Severe bipolar disorder with psychotic features (disorder)	SNOMED	Condition
bipolar_01_base	45479006	Manic bipolar I disorder in remission (disorder)	SNOMED	Condition
bipolar_01_base	46229002	Severe mixed bipolar I disorder without psychotic features (disorder)	SNOMED	Condition
bipolar_01_base	48937005	Bipolar II disorder, most recent episode hypomanic (disorder)	SNOMED	Condition
bipolar_01_base	49468007	Depressed bipolar I disorder (disorder)	SNOMED	Condition
bipolar_01_base	49512000	Depressed bipolar I disorder in partial remission (disorder)	SNOMED	Condition
bipolar_01_base	51637008	Chronic bipolar I disorder, most recent episode depressed (disorder)	SNOMED	Condition
bipolar_01_base	53049002	Severe bipolar disorder without psychotic features (disorder)	SNOMED	Condition
