code_set	concept_code	concept_name	vocabulary_id	domain_id
schizophrenia_01_base	111482003	Subchronic schizophrenia with acute exacerbations (disorder)	SNOMED	Condition
schizophrenia_01_base	111484002	Undifferentiated schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	1204417003	Early onset schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	12939007	Chronic disorganized schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	14291003	Subchronic disorganized schizophrenia with acute exacerbations (disorder)	SNOMED	Condition
schizophrenia_01_base	16990005	Subchronic schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	191526005	Schizophrenic disorders (disorder)	SNOMED	Condition
schizophrenia_01_base	191527001	Simple schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	191531007	Acute exacerbation of chronic schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	191542003	Catatonic schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	191547009	Acute exacerbation of subchronic catatonic schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	191548004	Acute exacerbation of chronic catatonic schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	191554003	Acute exacerbation of subchronic paranoid schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	191555002	Acute exacerbation of chronic paranoid schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	191577003	Cenesthopathic schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	247804008	Schizophrenic prodrome (disorder)	SNOMED	Condition
schizophrenia_01_base	26025008	Residual schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	26472000	Paraphrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	268617001	Acute schizophrenic episode (disorder)	SNOMED	Condition
schizophrenia_01_base	27387000	Subchronic disorganized schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	29599000	Chronic undifferentiated schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	30336007	Chronic residual schizophrenia with acute exacerbations (disorder)	SNOMED	Condition
schizophrenia_01_base	31658008	Chronic paranoid schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	35218008	Chronic disorganized schizophrenia with acute exacerbation (disorder)	SNOMED	Condition
schizophrenia_01_base	35252006	Disorganized schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	38295006	Involutional paraphrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	416340002	Late onset schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	42868002	Subchronic catatonic schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	441833000	Lethal catatonia (disorder)	SNOMED	Condition
schizophrenia_01_base	58214004	Schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	64905009	Paranoid schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	68995007	Chronic catatonic schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	7025000	Subchronic undifferentiated schizophrenia with acute exacerbations (disorder)	SNOMED	Condition
schizophrenia_01_base	70814008	Subchronic residual schizophrenia with acute exacerbations (disorder)	SNOMED	Condition
schizophrenia_01_base	71103003	Chronic residual schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	76566000	Subchronic residual schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	79204003	Chronic undifferentiated schizophrenia with acute exacerbations (disorder)	SNOMED	Condition
schizophrenia_01_base	79866005	Subchronic paranoid schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	83746006	Chronic schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	85861002	Subchronic undifferentiated schizophrenia (disorder)	SNOMED	Condition
schizophrenia_01_base	F20.0	Paranoid schizophrenia	ICD10CM	Condition
schizophrenia_01_base	F20.1	Disorganized schizophrenia	ICD10CM	Condition
schizophrenia_01_base	F20.2	Catatonic schizophrenia	ICD10CM	Condition
schizophrenia_01_base	F20.3	Undifferentiated schizophrenia	ICD10CM	Condition
schizophrenia_01_base	F20.5	Residual schizophrenia	ICD10CM	Condition
schizophrenia_01_base	F20.81	Schizophreniform disorder	ICD10CM	Condition
schizophrenia_01_base	F20.89	Other schizophrenia	ICD10CM	Condition
schizophrenia_01_base	F20.9	Schizophrenia, unspecified	ICD10CM	Condition
schizophrenia_01_base	F25.0	Schizoaffective disorder, bipolar type	ICD10CM	Condition
schizophrenia_01_base	F25.1	Schizoaffective disorder, depressive type	ICD10CM	Condition
schizophrenia_01_base	F25.8	Other schizoaffective disorders	ICD10CM	Condition
schizophrenia_01_base	F25.9	Schizoaffective disorder, unspecified	ICD10CM	Condition
