code_set	concept_code	concept_name	vocabulary_id	domain_id
dialysis_services_01_base	11932001	Stabilizing hemodialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	108241001	Dialysis procedure (procedure)	SNOMED	Procedure
dialysis_services_01_base	10848006	Removal of peritoneal dialysis catheter (procedure)	SNOMED	Procedure
dialysis_services_01_base	14684005	Peritoneal dialysis excluding cannulation (procedure)	SNOMED	Procedure
dialysis_services_01_base	180273006	Removal of chronic ambulatory peritoneal dialysis catheter (procedure)	SNOMED	Procedure
dialysis_services_01_base	225230008	Chronic peritoneal dialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	225231007	Stab peritoneal dialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	233575001	Intermittent hemodialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	233576000	Intermittent hemodialysis with sequential ultrafiltration (procedure)	SNOMED	Procedure
dialysis_services_01_base	233577009	Intermittent hemodialysis with continuous ultrafiltration (procedure)	SNOMED	Procedure
dialysis_services_01_base	233578004	Continuous hemodialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	233579007	Continuous arteriovenous hemodialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	233580005	Continuous venovenous hemodialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	233581009	Hemofiltration (procedure)	SNOMED	Procedure
dialysis_services_01_base	233582002	Intermittent hemofiltration (procedure)	SNOMED	Procedure
dialysis_services_01_base	233583007	Continuous hemofiltration (procedure)	SNOMED	Procedure
dialysis_services_01_base	233584001	Continuous arteriovenous hemofiltration (procedure)	SNOMED	Procedure
dialysis_services_01_base	233585000	Continuous venovenous hemofiltration (procedure)	SNOMED	Procedure
dialysis_services_01_base	233586004	Hemodiafiltration (procedure)	SNOMED	Procedure
dialysis_services_01_base	233587008	Intermittent hemodiafiltration (procedure)	SNOMED	Procedure
dialysis_services_01_base	233588003	Continuous hemodiafiltration (procedure)	SNOMED	Procedure
dialysis_services_01_base	233589006	Continuous arteriovenous hemodiafiltration (procedure)	SNOMED	Procedure
dialysis_services_01_base	233590002	Continuous venovenous hemodiafiltration (procedure)	SNOMED	Procedure
dialysis_services_01_base	238316008	Aspiration of chronic ambulatory peritoneal dialysis catheter (procedure)	SNOMED	Procedure
dialysis_services_01_base	238317004	Flushing of chronic ambulatory peritoneal dialysis catheter (procedure)	SNOMED	Procedure
dialysis_services_01_base	238318009	Continuous ambulatory peritoneal dialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	238319001	Continuous cycling peritoneal dialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	238321006	Intermittent peritoneal dialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	238322004	Tidal peritoneal dialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	238323009	Night-time intermittent peritoneal dialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	265764009	Renal dialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	288182009	Extracorporeal kidney (procedure)	SNOMED	Procedure
dialysis_services_01_base	302497006	Hemodialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	34897002	Hemodialysis, maintenance in hospital (procedure)	SNOMED	Procedure
dialysis_services_01_base	427053002	Extracorporeal albumin hemodialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	428648006	Automated peritoneal dialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	439278006	Measurement of static venous pressure in hemodialysis vascular access (procedure)	SNOMED	Measurement
dialysis_services_01_base	439976001	Measurement of recirculation in hemodialysis vascular access (procedure)	SNOMED	Procedure
dialysis_services_01_base	57274006	Initial hemodialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	676002	Peritoneal dialysis including cannulation (procedure)	SNOMED	Procedure
dialysis_services_01_base	67970008	Hemodialysis, maintenance at home (procedure)	SNOMED	Procedure
dialysis_services_01_base	68341005	Hemodialysis, supervision at home (procedure)	SNOMED	Observation
dialysis_services_01_base	71192002	Peritoneal dialysis (procedure)	SNOMED	Procedure
dialysis_services_01_base	714749008	Continuous renal replacement therapy (procedure)	SNOMED	Procedure
dialysis_services_01_base	90945	Dialysis procedure other than hemodialysis (eg, peritoneal dialysis, hemofiltration, or other continuous renal replacement therapies), with single eva	CPT4	Drug
dialysis_services_01_base	G0257	Unscheduled or emergency dialysis treatment for an esrd patient in a hospital outpatient department that is not certified as an esrd facility	HCPCS	Procedure
dialysis_services_01_base	S9339	Home therapy; peritoneal dialysis, administrative services, professional pharmacy services, care coordination and all necessary supplies and equipment	HCPCS	Procedure
