code_set	concept_code	concept_name	vocabulary_id	domain_id
mammography_code_01_base	87.35	Contrast radiogram of mammary ducts	ICD9Proc	Procedure
mammography_code_01_base	87.37	Other mammography	ICD9Proc	Procedure
mammography_code_01_base	24623002	Screening mammography	SNOMED	Procedure
mammography_code_01_base	241056007	Mammogram - localization	SNOMED	Procedure
mammography_code_01_base	18102001	Mammary ductogram	SNOMED	Procedure
mammography_code_01_base	43204002	Mammography of bilateral breasts	SNOMED	Procedure
mammography_code_01_base	71651007	Mammography	SNOMED	Procedure
mammography_code_01_base	572701000119102	Mammography of left breast	SNOMED	Procedure
mammography_code_01_base	566571000119105	Mammography of right breast	SNOMED	Procedure
mammography_code_01_base	V76.10	Breast screening, unspecified	ICD9CM	Procedure
mammography_code_01_base	V76.11	Screening mammogram for high-risk patient	ICD9CM	Procedure
mammography_code_01_base	V76.12	Other screening mammogram	ICD9CM	Procedure
mammography_code_01_base	V76.19	Other screening breast examination	ICD9CM	Procedure
mammography_code_01_base	R92.2	Inconclusive mammogram	ICD10CM	Condition
