code_set	concept_code	concept_name	vocabulary_id	domain_id
mastectomy_01_base	33129002	Postmastectomy lymphedema syndrome	SNOMED	Condition
mastectomy_01_base	12275121000119109	Postmastectomy lymphedema syndrome of bilateral upper limbs	SNOMED	Condition
mastectomy_01_base	85.22	Resection of quadrant of breast	ICD9Proc	Procedure
mastectomy_01_base	85.23	Subtotal mastectomy	ICD9Proc	Procedure
mastectomy_01_base	85.24	Excision of ectopic breast tissue	ICD9Proc	Procedure
mastectomy_01_base	85.25	Excision of nipple	ICD9Proc	Procedure
mastectomy_01_base	85.41	Unilateral simple mastectomy	ICD9Proc	Procedure
mastectomy_01_base	85.42	Bilateral simple mastectomy	ICD9Proc	Procedure
mastectomy_01_base	85.43	Unilateral extended simple mastectomy	ICD9Proc	Procedure
mastectomy_01_base	85.44	Bilateral extended simple mastectomy	ICD9Proc	Procedure
mastectomy_01_base	85.45	Unilateral radical mastectomy	ICD9Proc	Procedure
mastectomy_01_base	0HBW0ZX	Excision of Right Nipple, Open Approach, Diagnostic	ICD10PCS	Procedure
mastectomy_01_base	0HBW0ZZ	Excision of Right Nipple, Open Approach	ICD10PCS	Procedure
mastectomy_01_base	0HBW3ZX	Excision of Right Nipple, Percutaneous Approach, Diagnostic	ICD10PCS	Procedure
mastectomy_01_base	0HBW3ZZ	Excision of Right Nipple, Percutaneous Approach	ICD10PCS	Procedure
mastectomy_01_base	0HBW7ZX	Excision of Right Nipple, Via Natural or Artificial Opening, Diagnostic	ICD10PCS	Procedure
mastectomy_01_base	0HBW7ZZ	Excision of Right Nipple, Via Natural or Artificial Opening	ICD10PCS	Procedure
mastectomy_01_base	0HBW8ZX	Excision of Right Nipple, Via Natural or Artificial Opening Endoscopic, Diagnostic	ICD10PCS	Procedure
mastectomy_01_base	0HBW8ZZ	Excision of Right Nipple, Via Natural or Artificial Opening Endoscopic	ICD10PCS	Procedure
mastectomy_01_base	0HBWXZX	Excision of Right Nipple, External Approach, Diagnostic	ICD10PCS	Procedure
mastectomy_01_base	0HBWXZZ	Excision of Right Nipple, External Approach	ICD10PCS	Procedure
mastectomy_01_base	0HBX0ZX	Excision of Left Nipple, Open Approach, Diagnostic	ICD10PCS	Procedure
mastectomy_01_base	0HBX0ZZ	Excision of Left Nipple, Open Approach	ICD10PCS	Procedure
mastectomy_01_base	0HBX3ZX	Excision of Left Nipple, Percutaneous Approach, Diagnostic	ICD10PCS	Procedure
mastectomy_01_base	0HBX3ZZ	Excision of Left Nipple, Percutaneous Approach	ICD10PCS	Procedure
mastectomy_01_base	0HBX7ZX	Excision of Left Nipple, Via Natural or Artificial Opening, Diagnostic	ICD10PCS	Procedure
mastectomy_01_base	0HBX7ZZ	Excision of Left Nipple, Via Natural or Artificial Opening	ICD10PCS	Procedure
mastectomy_01_base	0HBX8ZX	Excision of Left Nipple, Via Natural or Artificial Opening Endoscopic, Diagnostic	ICD10PCS	Procedure
mastectomy_01_base	0HBX8ZZ	Excision of Left Nipple, Via Natural or Artificial Opening Endoscopic	ICD10PCS	Procedure
mastectomy_01_base	0HBXXZX	Excision of Left Nipple, External Approach, Diagnostic	ICD10PCS	Procedure
mastectomy_01_base	0HBXXZZ	Excision of Left Nipple, External Approach	ICD10PCS	Procedure
mastectomy_01_base	0HTWXZZ	Resection of Right Nipple, External Approach	ICD10PCS	Procedure
mastectomy_01_base	0HTXXZZ	Resection of Left Nipple, External Approach	ICD10PCS	Procedure
mastectomy_01_base	172049005	Quadrantectomy of breast	SNOMED	Procedure
mastectomy_01_base	172111009	Excision of lesion of mammary duct	SNOMED	Procedure
mastectomy_01_base	172106007	Excision of lactiferous duct fistula of breast	SNOMED	Procedure
mastectomy_01_base	20486005	Excision of lesion of subcutaneous tissue of breast	SNOMED	Procedure
mastectomy_01_base	237370008	Segmentectomy of breast	SNOMED	Procedure
mastectomy_01_base	237393002	Excision of nipple and areola	SNOMED	Procedure
mastectomy_01_base	237400005	Microdochectomy	SNOMED	Procedure
mastectomy_01_base	237394008	Excision of areola	SNOMED	Procedure
mastectomy_01_base	12708000	Excision of accessory nipple	SNOMED	Procedure
mastectomy_01_base	265255003	Subareolar excision of mammillary duct	SNOMED	Procedure
mastectomy_01_base	35212009	Excision of nipple lesion	SNOMED	Procedure
mastectomy_01_base	307796007	Excision of mammary duct	SNOMED	Procedure
mastectomy_01_base	428554004	Partial excision of breast using guide wire	SNOMED	Procedure
mastectomy_01_base	52314009	Extended simple mastectomy of bilateral breasts	SNOMED	Procedure
mastectomy_01_base	392021009	Lumpectomy of breast	SNOMED	Procedure
mastectomy_01_base	72432009	Excision of lesion of skin of breast	SNOMED	Procedure
mastectomy_01_base	72577009	Excision of nipple	SNOMED	Procedure
mastectomy_01_base	35482003	Partial mastectomy with axillary lymphadenectomy	SNOMED	Procedure
mastectomy_01_base	62347003	Nipple exploration with excision of lactiferous duct	SNOMED	Procedure
mastectomy_01_base	6189002	Excision of aberrant tissue of breast	SNOMED	Procedure
mastectomy_01_base	64368001	Partial mastectomy	SNOMED	Procedure
mastectomy_01_base	22418005	Simple mastectomy of bilateral breasts	SNOMED	Procedure
mastectomy_01_base	I97.2	Postmastectomy lymphedema syndrome	ICD10CM	Condition
mastectomy_01_base	770108008	Excision of ectopic tissue of breast	SNOMED	Procedure
mastectomy_01_base	12275171000119105	Postmastectomy lymphedema syndrome of right upper limb	SNOMED	Condition
mastectomy_01_base	12275221000119100	Postmastectomy lymphedema syndrome of left upper limb	SNOMED	Condition
mastectomy_01_base	735085002	Lumpectomy of left breast	SNOMED	Procedure
mastectomy_01_base	735086001	Lumpectomy of right breast	SNOMED	Procedure
mastectomy_01_base	736751004	Total excision of lactiferous duct of left breast	SNOMED	Procedure
mastectomy_01_base	736752006	Total excision of lactiferous duct of right breast	SNOMED	Procedure
mastectomy_01_base	736753001	Excision of part of left breast	SNOMED	Procedure
mastectomy_01_base	736754007	Excision of part of right breast	SNOMED	Procedure
mastectomy_01_base	852951000000106	Total excision of lactiferous duct	SNOMED	Procedure
mastectomy_01_base	457.0	Postmastectomy lymphedema syndrome	ICD9CM	Condition
