code_set	concept_code	concept_name	concept_id	vocabulary_id	domain_id
colectomy_01	0DTE0ZZ	Resection of Large Intestine, Open Approach	2753176	ICD10PCS	Procedure
colectomy_01	0DTE4ZZ	Resection of Large Intestine, Percutaneous Endoscopic Approach	2753177	ICD10PCS	Procedure
colectomy_01	0DTE7ZZ	Resection of Large Intestine, Via Natural or Artificial Opening	2753368	ICD10PCS	Procedure
colectomy_01	0DTE8ZZ	Resection of Large Intestine, Via Natural or Artificial Opening Endoscopic	2753369	ICD10PCS	Procedure
colectomy_01	119771000119101	History of total colectomy	46274039	SNOMED	Observation
colectomy_01	26390003	Total colectomy	4096461	SNOMED	Procedure
colectomy_01	303401008	Parks panproctocolectomy, anastomosis of ileum to anus and creation of pouch	4122647	SNOMED	Procedure
colectomy_01	307666008	Total colectomy and ileostomy	4145225	SNOMED	Procedure
colectomy_01	307667004	Total colectomy, ileostomy and rectal mucous fistula	4146636	SNOMED	Procedure
colectomy_01	307669001	Total colectomy, ileostomy and closure of rectal stump	4141259	SNOMED	Procedure
colectomy_01	31130001	Total abdominal colectomy with proctectomy and ileostomy	4149741	SNOMED	Procedure
colectomy_01	36192008	Total abdominal colectomy with ileoproctostomy	4262950	SNOMED	Procedure
colectomy_01	44751009	Total abdominal colectomy with proctectomy and continent ileostomy	4260388	SNOMED	Procedure
colectomy_01	456004	Total abdominal colectomy with ileostomy	4163975	SNOMED	Procedure
colectomy_01	713165008	Laparoscopic total colectomy with ileo-rectal anastomosis	37016994	SNOMED	Procedure
colectomy_01	787108001	Laparoscopic restorative proctocolectomy with ileal pouch anal anastomosis	37204026	SNOMED	Procedure
colectomy_01	787109009	Excision of entire colon and entire rectum	37204027	SNOMED	Procedure
colectomy_01	787874000	Laparoscopic total colectomy	37312780	SNOMED	Procedure
colectomy_01	787875004	Laparoscopic total colectomy and loop ileostomy	37312779	SNOMED	Procedure
colectomy_01	787876003	Laparoscopic total colectomy and ileostomy	37312778	SNOMED	Procedure
colectomy_01	80294005	Total abdominal colectomy with rectal mucosectomy and ileoanal anastomosis	4197412	SNOMED	Procedure
colectomy_01	858579005	Panproctocolectomy	3573927	SNOMED	Procedure
