code_set	concept_code	concept_name	concept_id	vocabulary_id	domain_id
colon_neoplasm_01	109838007	Overlapping malignant neoplasm of colon	79740	SNOMED	Condition
colon_neoplasm_01	109839004	Overlapping malignant neoplasm of rectum, anus and anal canal	438090	SNOMED	Condition
colon_neoplasm_01	10987871000119109	History of rectosigmoid junction cancer	46273480	SNOMED	Observation
colon_neoplasm_01	1156783003	Leiomyosarcoma of rectum	608046	SNOMED	Condition
colon_neoplasm_01	1156788007	Leiomyosarcoma of colon	608050	SNOMED	Condition
colon_neoplasm_01	1156795003	Kaposi sarcoma of colon	608057	SNOMED	Condition
colon_neoplasm_01	1156797006	Kaposi sarcoma of rectum	608059	SNOMED	Condition
colon_neoplasm_01	1163568002	Primary malignant neoplasm of overlapping sites of colon	37160864	SNOMED	Condition
colon_neoplasm_01	1197354001	Primary malignant mesenchymal neoplasm of colon	37162736	SNOMED	Condition
colon_neoplasm_01	1197355000	Primary malignant mesenchymal neoplasm of rectum	37162737	SNOMED	Condition
colon_neoplasm_01	1197359006	Familial colorectal cancer type X	37162740	SNOMED	Condition
colon_neoplasm_01	1204448006	History of carcinoma of rectosigmoid junction	37153001	SNOMED	Observation
colon_neoplasm_01	123701000119104	Malignant carcinoid tumor of descending colon	760957	SNOMED	Condition
colon_neoplasm_01	123721000119108	Malignant carcinoid tumor of ascending colon	760958	SNOMED	Condition
colon_neoplasm_01	130381000119103	Primary malignant neuroendocrine neoplasm of ascending colon	761001	SNOMED	Condition
colon_neoplasm_01	133751000119102	Lymphoma of colon	37018876	SNOMED	Condition
colon_neoplasm_01	153.0	Malignant neoplasm of hepatic flexure	44834482	ICD9CM	Condition
colon_neoplasm_01	153.1	Malignant neoplasm of transverse colon	44820600	ICD9CM	Condition
colon_neoplasm_01	153.2	Malignant neoplasm of descending colon	44826391	ICD9CM	Condition
colon_neoplasm_01	153.3	Malignant neoplasm of sigmoid colon	44824023	ICD9CM	Condition
colon_neoplasm_01	153.4	Malignant neoplasm of cecum	44832119	ICD9CM	Condition
colon_neoplasm_01	153.5	Malignant neoplasm of appendix vermiformis	44836825	ICD9CM	Condition
colon_neoplasm_01	153.6	Malignant neoplasm of ascending colon	44836826	ICD9CM	Condition
colon_neoplasm_01	153.7	Malignant neoplasm of splenic flexure	44833291	ICD9CM	Condition
colon_neoplasm_01	153.8	Malignant neoplasm of other specified sites of large intestine	44826392	ICD9CM	Condition
colon_neoplasm_01	153.9	Malignant neoplasm of colon, unspecified site	44827552	ICD9CM	Condition
colon_neoplasm_01	154.0	Malignant neoplasm of rectosigmoid junction	44822870	ICD9CM	Condition
colon_neoplasm_01	154.1	Malignant neoplasm of rectum	44825196	ICD9CM	Condition
colon_neoplasm_01	16636051000119105	Primary malignant gastrointestinal stromal neoplasm of colon	603310	SNOMED	Condition
colon_neoplasm_01	16636101000119105	Primary malignant gastrointestinal stromal neoplasm of rectum	603311	SNOMED	Condition
colon_neoplasm_01	1701000119104	Primary adenocarcinoma of colon	42872396	SNOMED	Condition
colon_neoplasm_01	184881000119106	Primary adenocarcinoma of rectosigmoid junction	37016239	SNOMED	Condition
colon_neoplasm_01	187760008	Malignant neoplasm of rectum, rectosigmoid junction and anus	4095430	SNOMED	Condition
colon_neoplasm_01	197.5	Secondary malignant neoplasm of large intestine and rectum	44835683	ICD9CM	Condition
colon_neoplasm_01	254582000	Adenocarcinoma of rectum	4110575	SNOMED	Condition
colon_neoplasm_01	254586002	Malignant tumor of anorectal junction	4112730	SNOMED	Condition
colon_neoplasm_01	269533000	Carcinoma of colon	4149847	SNOMED	Condition
colon_neoplasm_01	269544008	Carcinoma of rectosigmoid junction	4151260	SNOMED	Condition
