code_set	concept_code	concept_name	vocabulary_id	domain_id
housing_insecurity_vsac_01_base	1156192009	Housing instability due to imminent risk of homelessness (finding)	SNOMED	Observation
housing_insecurity_vsac_01_base	1156194005	Housing instability following recent homelessness (finding)	SNOMED	Observation
housing_insecurity_vsac_01_base	32911000	Homeless (finding)	SNOMED	Observation
housing_insecurity_vsac_01_base	611131000124100	Sheltered homelessness (finding)	SNOMED	Observation
housing_insecurity_vsac_01_base	611141000124105	Unsheltered homelessness (finding)	SNOMED	Observation
housing_insecurity_vsac_01_base	611551000124102	"""Homelessness, living in a shared accommodation (finding)"""	SNOMED	Observation
housing_insecurity_vsac_01_base	Z59.00	Homelessness unspecified	ICD10CM	Observation
housing_insecurity_vsac_01_base	Z59.01	Sheltered homelessness	ICD10CM	Observation
housing_insecurity_vsac_01_base	Z59.02	Unsheltered homelessness	ICD10CM	Observation
housing_insecurity_vsac_01_base	Z59.811	"""Housing instability, housed, with risk of homelessness"""	ICD10CM	Observation
housing_insecurity_vsac_01_base	Z59.812	"""Housing instability, housed, homelessness in past 12 months"""	ICD10CM	Observation
